StopID,Bench,Shelter,routes,Direction,Pole_Locat,Sidewalk,Trans_P,x,y
12150,Bench, ,18,inbound,forward facing back of sidewalk,sidewalk, ,1437362.125357848824933,556721.857877569389530
12170, , ,18,inbound,forward facing back of curb, , ,1436698.963626420358196,556261.971002078615129
12190, , ,18,outbound,rear facing back of sidewalk,sidewalk, ,1436566.746699246112257,556122.884009918896481
12210, , ,18,outbound,forward facing back of sidewalk,sidewalk, ,1436075.114152333931997,555798.073963984497823
12230, , ,"18, 2",inbound,forward facing back of sidewalk,sidewalk, ,1435554.925232088891789,555730.081317839096300
12240,Bench, ,18,inbound,forward facing back of curb,sidewalk,transfer point,1434738.046616500476375,555901.088849836844020
12250, , ,"18, 2",inbound,forward facing back of sidewalk,sidewalk,transfer point,1434906.767079584766179,555871.661415236303583
12270, , ,18,inbound,forward facing back of curb, ,transfer point,1435538.024019172880799,555751.880158752086572
12271, , ,2,inbound,forward facing edge of pavement, , ,1433084.118493920657784,556014.593872170778923
12275, , ,2,inbound,forward facing edge of pavement, , ,1432368.518547172192484,555627.152717909659259
12320, , ,"18, 2",inbound,forward facing edge of pavement,sidewalk, ,1434071.340928918449208,555946.577604004298337
12321, , ,18, , , , ,1434272.181734583107755,555895.056381580187008
12330, , ,18,inbound,forward facing back of sidewalk,sidewalk, ,1433373.988977172411978,557105.821348495548591
12340, , ,18,inbound,forward facing edge of pavement, , ,1433395.966623508138582,557052.983199577894993
12350, , ,18,inbound,forward facing back of curb, , ,1433306.154795251553878,557992.036439570016228
12360, , ,1,inbound,forward facing edge of pavement, , ,1434373.350495507707819,561240.122134993667714
12370,Bench, ,8,inbound,forward facing back of curb, , ,1426399.943542084423825,546956.986003171536140
12390, , ,8,inbound,forward facing back of curb, , ,1424368.955478094052523,547978.838946333387867
12400, , ,8,outbound,forward facing back of curb, , ,1423296.935968584381044,548337.122678595245816
12420, , ,8,not applicable,forward facing back of curb, , ,1420907.100853252457455,546893.813229252700694
12430, , ,8,inbound,forward facing back of curb, , ,1421509.043547011679038,547773.893490097718313
12490, , ,3,inbound,forward facing back of curb, , ,1440706.903445171890780,556982.859652166254818
12580, ,Shelter,3,not applicable,forward facing back of sidewalk,sidewalk, ,1485736.083399748429656,531721.867851415765472
12630,Bench, ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk,transfer point,1476728.161455008201301,526427.848255741759203
12640, , ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk, ,1477463.901453338796273,526783.970246925950050
12650, , ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk, ,1478117.955263337586075,527203.063896926702000
12660, , ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk, ,1478595.132130510872230,527335.902213901281357
12670, , ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk, ,1479621.052978925872594,527185.022594421170652
12680, , ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk, ,1480402.165261840680614,527081.054626503377222
12690, , ,"221, 52x",inbound,forward facing back of sidewalk,sidewalk, ,1481613.109034174121916,527667.011459835455753
12700, ,Shelter,"221, 52x",inbound,forward facing back of sidewalk,sidewalk,transfer point,1482786.975452830316499,527294.892781501286663
12710, , ,52x,inbound,forward facing back of sidewalk,sidewalk, ,1484018.409013592638075,525953.222892661346123
12730,Bench, ,3,not applicable,forward facing back of sidewalk,sidewalk, ,1484887.123483499512076,530511.022832168615423
12750, , ,3,not applicable,forward facing back of sidewalk,sidewalk, ,1485451.119730838108808,531312.945769013836980
12950, , ,221,inbound,forward facing back of curb,sidewalk,transfer point,1474897.015511011704803,526958.893453498138115
12980, , ,17,outbound,forward facing back of curb,sidewalk,transfer point,1476626.960213845130056,524350.836333664250560
13010, , ,17,outbound,forward facing back of curb,sidewalk, ,1477520.137233250308782,523105.865070329746231
13020, , ,17,inbound,forward facing back of curb,sidewalk, ,1477725.934065749868751,522979.937172587087844
13030, , ,17,outbound,forward facing back of curb,sidewalk, ,1478737.015376915922388,521261.916002333164215
